region,product_category,Jan,Feb,Mar,Apr,May,Jun
Jakarta,Electronics,202,472,376,289,266,191
Jakarta,Fashion,448,199,260,274,373,466
Jakarta,Food,370,459,413,150,487,363
Surabaya,Electronics,206,251,121,463,188,134
Surabaya,Fashion,171,230,352,154,415,305
Surabaya,Food,288,249,335,343,113,180
Bandung,Electronics,120,408,444,419,341,149
Bandung,Fashion,202,357,148,230,364,459
Bandung,Food,221,443,158,406,445,487
Medan,Electronics,314,393,269,234,152,101
Medan,Fashion,430,485,287,120,485,489
Medan,Food,187,291,370,428,439,153
