order_id,customer_id,city,payment_method,order_value,order_date
1001,102,Jakarta,Bank Transfer,180,2024-01-01
1002,104,Jakarta,E-Wallet,306,2024-01-02
1003,105,Jakarta,Credit Card,54,2024-01-03
1004,102,Bandung,Bank Transfer,267,2024-01-04
1005,102,Jakarta,Credit Card,304,2024-01-05
1006,104,Jakarta,E-Wallet,447,2024-01-06
1007,102,Jakarta,Credit Card,408,2024-01-07
1008,102,Bandung,Bank Transfer,332,2024-01-08
1009,104,Jakarta,Bank Transfer,442,2024-01-09
1010,104,Jakarta,E-Wallet,256,2024-01-10
1011,101,Bandung,Credit Card,64,2024-01-11
1012,105,Bandung,Bank Transfer,395,2024-01-12
1013,105,Bandung,E-Wallet,91,2024-01-13
1014,102,Jakarta,Bank Transfer,429,2024-01-14
1015,105,Bandung,Bank Transfer,228,2024-01-15
1016,102,Bandung,Credit Card,112,2024-01-16
1017,101,Jakarta,Bank Transfer,401,2024-01-17
1018,104,Bandung,Credit Card,280,2024-01-18
1019,104,Jakarta,Bank Transfer,290,2024-01-19
1020,104,Surabaya,E-Wallet,101,2024-01-20
