date,revenue,orders,city
2024-01-29,5149.01424590337,57,Jakarta
2024-01-02,5852.527215607746,49,Jakarta
2024-01-03,6389.041151314314,79,Medan
2024-01-18,6209.342856432779,52,Jakarta
2024-01-05,4900.319373532905,59,Surabaya
2024-01-06,4428.939593036601,38,Surabaya
2024-01-07,5216.775688824915,51,Jakarta
2024-01-08,5785.025613005352,48,Surabaya
2024-01-10,6687.196786144916,65,Medan
2024-01-11,5810.062913987957,48,Jakarta
2024-01-12,4888.380706454174,48,Jakarta
2024-01-13,4490.183532420525,42,Jakarta
2024-01-14,3954.4020807410247,36,Medan
2024-01-15,4701.548988805654,47,Surabaya
2024-01-16,5736.432894928614,54,Surabaya
2024-12-21,5698.629579987685,55,Jakarta
2024-04-05,5464.515644755499,47,Surabaya
2024-01-19,4147.761617559295,50,Jakarta
2024-01-20,3385.972948240536,37,Bandung
2024-01-21,4389.234007960053,37,Jakarta
2024-09-29,4629.34159143249,40,Jakarta
2024-01-23,5485.650913998487,55,Jakarta
2024-01-24,5239.283604524062,49,Jakarta
2024-01-25,4992.30093758503,54,Surabaya
2024-01-26,4371.8597879579775,49,Jakarta
2024-01-27,3521.9002319897736,35,Bandung
2024-05-14,4258.903105108613,45,Jakarta
2024-05-05,4846.5770577878275,46,Surabaya
2024-01-30,5828.723676504729,70,Jakarta
2024-01-31,6040.991270978758,50,Jakarta
2024-02-01,6348.3175604270655,53,Surabaya
2024-02-02,5028.449113629099,46,Jakarta
2024-10-11,4272.884311989972,42,Jakarta
2024-02-04,5115.956458696146,55,Bandung
2024-02-05,5354.430839777624,47,Medan
2024-02-06,6615.909230075937,61,Jakarta
2024-02-07,6188.3974117431235,71,Jakarta
2024-02-08,5845.017639255455,50,Surabaya
2024-02-28,5421.250834996237,48,Jakarta
2024-02-10,5008.39188699669,42,Jakarta
2024-02-11,4978.137715997521,45,Jakarta
2024-02-13,6248.29335286339,64,Surabaya
2024-02-14,5996.970996096916,51,Jakarta
2024-02-15,5587.793490297777,48,Jakarta
2024-02-16,4702.050975966449,57,Jakarta
2024-11-29,4525.141804008965,55,Surabaya
2024-02-18,4421.881926201476,46,Jakarta
2024-02-19,4502.255266679878,40,Jakarta
2024-02-20,5857.002875503837,49,Bandung
2024-02-21,5803.053052101133,67,Jakarta
2024-11-28,5160.943451615601,49,Surabaya
2024-02-23,4687.974638206732,49,Jakarta
2024-02-24,4302.679302857741,36,Jakarta
2024-03-03,4516.594645895158,39,Jakarta
2024-07-31,4836.936302897249,42,Surabaya
2024-02-27,5863.668294251359,59,Bandung
2024-02-29,6107.522938694704,67,Jakarta
2024-09-20,4915.514674460368,59,Surabaya
2024-12-30,4599.225387963951,40,Jakarta
2024-03-04,5452.838858100115,45,Bandung
2024-03-05,6923.189039185258,57,Jakarta
2024-03-06,7349.0591979877545,71,Jakarta
2024-03-08,5915.122009441037,50,Jakarta
2024-03-09,5189.727952605643,45,Jakarta
2024-03-10,5067.284136969241,56,Surabaya
2024-03-11,6116.773849298166,62,Jakarta
2024-03-12,7198.376508982133,84,Bandung
2024-03-13,6849.853548512883,57,Bandung
2024-03-14,6706.645157399669,64,Jakarta
2024-03-15,4492.367753146593,50,Jakarta
2024-03-16,4888.081195295129,45,Jakarta
2024-03-17,4764.984326841116,45,Surabaya
2024-03-18,5339.806185651111,56,Jakarta
2024-08-22,6156.562979693402,72,Surabaya
2024-03-20,5656.3998935560085,52,Jakarta
2024-02-03,5592.503717449431,55,Surabaya
2024-03-22,4863.475198845932,43,Jakarta
2024-08-12,4645.151956296222,46,Jakarta
2024-03-24,4247.61828518766,37,Medan
2024-03-25,4972.334619888574,48,Bandung
2024-03-26,5896.921804486754,57,Jakarta
2024-07-09,6584.825449822243,57,Bandung
2024-03-28,5953.684939019921,61,Jakarta
2024-03-29,4927.107549447321,57,Bandung
2024-03-30,4806.603321658372,59,Bandung
2024-03-31,4987.017809733641,45,Jakarta
2024-04-01,6142.494548048189,58,Jakarta
2024-04-02,6530.748259404367,60,Jakarta
2024-04-03,6934.905455992568,78,Surabaya
2024-01-17,6460.426445642639,75,Surabaya
2024-12-23,5340.896396143242,66,Jakarta
2024-04-07,5591.006320842669,53,Bandung
2024-04-08,6304.274436731666,65,Medan
2024-04-09,7000.682230740051,71,Surabaya
2024-04-10,6805.247199678098,58,Jakarta
2024-04-12,5595.550696454213,55,Jakarta
2024-04-13,4834.332571055348,43,Medan
2024-04-14,5128.533169988999,53,Jakarta
2024-04-16,7114.964284134636,62,Jakarta
2024-04-17,6703.384989288,56,Surabaya
2024-04-18,6104.927463064866,71,Surabaya
2024-04-19,5068.10048437281,43,Bandung
2024-04-20,3920.5376103773415,39,Jakarta
2024-02-22,4647.014863872917,51,Jakarta
2024-04-22,5441.356060503647,55,Jakarta
2024-04-23,6952.310291817143,58,Medan
2024-04-24,6378.677665969774,63,Bandung
2024-04-25,6036.5407193774745,64,Surabaya
2024-04-26,5137.554974766423,48,Surabaya
2024-04-27,4342.219886002517,48,Surabaya
2024-04-28,5327.510054047204,64,Jakarta
2024-10-06,6099.706256177962,71,Medan
2024-04-30,7005.442436443945,82,Jakarta
2024-07-16,6800.588069097486,79,Jakarta
2024-05-02,7060.830079963688,82,Surabaya
2024-05-03,5450.412472300594,51,Jakarta
2024-05-04,5591.879710888735,64,Jakarta
2024-02-26,6335.715167441147,67,Surabaya
2024-05-06,6213.98379896453,53,Jakarta
2024-09-22,7153.038727709693,72,Surabaya
2024-05-08,7554.139063912802,70,Jakarta
2024-05-09,6818.643273633024,78,Jakarta
2024-05-10,5602.423084139758,63,Jakarta
2024-05-11,5493.925721765804,67,Jakarta
2024-05-12,5278.301536409688,60,Surabaya
2024-05-13,6438.596735659963,70,Jakarta
2024-04-04,6711.3299206204665,77,Surabaya
2024-05-15,7549.49727478298,90,Jakarta
2024-07-16,6212.7601251858805,73,Surabaya
2024-05-17,5392.15688174311,54,Medan
2024-05-18,5109.481202225308,57,Surabaya
2024-05-19,4619.802563287736,48,Jakarta
2024-05-20,5785.910209995865,57,Jakarta
2024-05-21,6857.350160194214,63,Jakarta
2024-05-22,6162.545281800552,75,Surabaya
2024-05-23,6167.355414746537,55,Jakarta
2024-05-24,5352.114484845013,50,Jakarta
2024-05-25,5018.38706937696,60,Surabaya
2024-05-26,4675.510891529836,40,Jakarta
2024-05-27,5518.189568010674,47,Bandung
2024-05-28,6951.483986779579,84,Jakarta
2024-05-29,7184.725002989477,78,Jakarta
